id	name
1010	TREE TOPS
1011	1-1
1012	MYRTLE COTTAGE
1013	RIVERSIDE
1014	ROOM 14
1015	THE MEWS
1016	GARAGE NO 1
1017	FLAT 203
1018	PLOT 98
1019	PLOT 102
1020	GARAGE NO 2
1021	EAST LODGE
1022	FLAT 98
1023	65B
1024	PLOT 100
1025	PLOT 99
1026	FLAT FIRST AND SECOND FLOORS
1027	THE MEADOWS
1028	FLAT 4/1
1029	FLAT GROUND
1030	11D
1031	SEWAGE PUMPING STATION
1032	SECOND FLOOR FRONT
1033	UPPER MAISONETTE
1034	APARTMENT 28
1035	131A
1036	PLOT 103
1037	THE COURTYARD
1038	SECOND FLOOR REAR
1039	PARK FARM
1040	HAZELDENE
1041	132A
1042	BRAESIDE
1043	1-5
1044	GARAGE 29
1045	130A
1046	FIELD VIEW
1047	OLD POST OFFICE
1048	UNIT 34
1049	PLOT 104
1050	APARTMENT 29
1051	3/1
1052	67B
1053	BRAMBLE COTTAGE
1054	FLAT 99
1055	LAND AND BUILDINGS ON THE WEST SIDE OF
1056	THE GREEN
1057	BARN AT
1058	WINDRUSH
1059	PLOT 105
1060	25C
1061	68B
1062	FIRE STATION
1063	PLOT 106
1064	12D
1065	3/2
1066	FLAT 4A
1067	FORMER 3
1068	135A
1069	NEW BUNGALOW
1070	137A
1071	FAIRWAYS
1072	FLAT LOWER GROUND FLOOR
1073	THE CEDARS
1074	ATM SITE
1075	FLAT 204
1076	STUDIO FLAT
1077	UNIT 8A
1078	69B
1079	FLAT 100
1080	PLOT 108
1081	FLAT 4/2
1082	LAND ADJOINING
1083	27C
1084	28-30
1085	26C
1086	BANK HOUSE
1087	133A
1088	IVY HOUSE
1089	THE MILL
1090	33-35
1091	GARAGE 30
1092	139A
1093	APARTMENT 30
1094	CARETAKERS FLAT
1095	GF2
1096	72B
1097	PLOT 107
1098	PLOT 109
1099	ROOM 13
1100	34-36
1101	HAWTHORN COTTAGE
1102	LAUREL COTTAGE
1103	32-34
1104	ST PETERS CHURCH
1105	GLEBE HOUSE
1106	HILLSIDE COTTAGE
1107	143A
1108	BRIDGE COTTAGE
1109	GROUND FLOOR AND FIRST FLOOR FLAT
1110	BASEMENT AND GROUND FLOORS
1111	138A
1112	UNIT 35
1113	HALL FARM
1114	UNITS 3 AND 4
1115	EAST VIEW
1116	METHODIST CHURCH
1117	ROOM 15
1118	BEECHWOOD
1119	136A
1120	GARAGE NO 3
1121	GROUND FLOOR FLAT 2
1122	FLAT 121
1123	PLOT 110
1124	OAKWOOD
1125	PLOT 111
1126	35-37
1127	APARTMENT 31
1128	COTTAGE
1129	70B
1130	CHESTNUT COTTAGE
1131	DAIRY COTTAGE
1132	SHOP AND PREMISES
1133	71B
1134	74B
1135	73B
1136	FLAT 122
1137	SEWAGE DISPOSAL WORKS
1138	PLOT 112
1139	ELM COTTAGE
